PacketCounter;SchouderLinks_EUL;SchouderLinks_ACC;SchouderLinks_GYR;BovenLinks_ACC;BovenLinks_QUAT;BovenLinks_GYR;OnderLinks_ACC;OnderLinks_EUL;OnderLinks_GYR;Sternum_ACC;Sternum_QUAT;Sternum_GYR;SchouderRechts_ACC;SchouderRechts_QUAT;SchouderRechts_GYR;BovenRechts_ACC;BovenRechts_QUAT;BovenRechts_GYR;OnderRechts_ACC;OnderRechts_QUAT;OnderRechts_GYR
20;156,5893032;9,897704755;5,870495709;10,02183246;0,632314884;3,573778202;9,966410417;184,5433998;0,505315756;1,766526186;1,232229866;2,457230335;10,13268864;0,999572535;3,107602519;9,93526497;0,885024575;1,445117917;9,967119227;0,942688426;3,002319756
21;156,5809875;9,900336726;5,828261142;10,03218181;0,632365935;3,844653357;9,960929688;184,5452904;0,610432104;1,804317521;1,232203643;2,508665014;10,11901648;0,999572209;3,081177972;9,921613416;0,884978247;1,359779675;9,985255937;0,942695144;3,275172622
22;156,5696907;9,878747967;5,653202032;10,04780441;0,632417783;4,184188795;9,98241204;184,5475315;0,825420723;1,827710861;1,232188463;2,316196079;10,09771454;0,999571528;3,034804385;9,913611087;0,884938981;1,331733548;9,978598624;0,942706736;3,500731794
23;156,5603719;9,87469134;5,626512755;10,03697469;0,632470086;4,20854;9,956578705;184,549843;0,91383033;1,831841625;1,232180306;2,224287513;10,07818141;0,999569928;3,161429153;9,906884199;0,884900009;1,378386774;9,981787756;0,942713171;3,433200516
24;156,5511693;9,892251945;5,539557963;10,03459489;0,632512915;4,030407145;9,975612491;184,5542778;1,053809799;1,777482934;1,232173114;2,231001194;10,11969841;0,999567646;3,426448845;9,896372903;0,884867273;1,461251717;9,995746943;0,942720537;3,304827522
25;156,5458378;9,87184372;5,431622265;10,02439852;0,632550992;4,004252923;9,96205033;184,5569184;1,199771772;1,727619091;1,232159131;2,279970159;10,12036255;0,999565671;3,32130314;9,885780404;0,88483755;1,640651876;9,964317251;0,942728494;3,350884625
26;156,5416493;9,822414883;5,445430918;10,00957272;0,632581444;3,726768602;9,957258906;184,558465;1,00467487;1,655915903;1,23214082;2,470938707;10,13381229;0,999564311;2,932609514;9,94209692;0,884799083;1,897932742;9,98244502;0,942736807;3,424331239
27;156,5373458;9,783791567;5,712905162;9,976753337;0,632620075;3,700520432;9,953020263;184,5594299;0,867485036;1,7407118;1,23212233;2,508113621;10,08705323;0,999562351;2,995627928;9,942128229;0,884761577;1,787002963;9,994712163;0,942745719;3,52285876
28;156,532777;9,804609148;6,173843529;9,917365951;0,632662158;3,995995243;9,934399773;184,5566415;0,835824088;1,726605234;1,232114876;2,377636619;10,12361703;0,999559271;3,268168123;9,924103794;0,884718241;1,649886483;9,990745643;0,942759443;3,472097085
29;156,5293342;9,838419322;6,504094967;9,924687937;0,632712321;4,23018387;9,904781848;184,552897;1,202470402;1,676951868;1,232109398;2,471766142;10,11139866;0,999554748;3,223120767;9,912250525;0,884668281;1,511042652;9,970966706;0,942771698;3,226868949
30;156,5296991;9,866202584;6,507992059;9,968216657;0,632788256;4,497341848;9,927435959;184,5467732;1,69229437;1,515105147;1,232086992;2,947077663;10,11159655;0,999550184;3,145868983;9,897155833;0,884608137;1,609896034;9,990330022;0,942780247;3,149058369
31;156,5361302;9,909605519;6,503654924;10,00949391;0,632881103;4,506875564;9,95796478;184,5383435;1,867376406;1,393103205;1,232049357;3,37860937;10,12370755;0,999544244;3,435269766;9,916936881;0,884544273;1,956097987;9,979665044;0,942792036;3,100196035
32;156,5509817;9,936430312;6,107536362;10,0560162;0,632964689;4,223949898;9,983208906;184,5274781;2,029073464;1,318333271;1,231994786;3,813333428;10,11672583;0,999537672;3,575183827;9,912461857;0,88448436;2,126031759;9,963363704;0,942800355;3,076026805
33;156,5697943;9,946597712;5,703837182;10,1081968;0,633053988;4,047059255;9,989804099;184,5161846;2,142001488;1,283705307;1,231945816;3,789073459;10,11956712;0,999532423;3,589583218;9,91783364;0,884409141;2,47744767;10,02334059;0,942822091;1,892879823
34;156,5846076;9,949232544;5,358599307;10,10252031;0,633152717;3,903826122;10,02610478;184,5012401;2,382430078;1,244057764;1,231911151;3,51062813;10,05902051;0,999528054;3,381276723;9,916841963;0,884317293;2,648370278;9,981684039;0,942881593;2,370972878
35;156,5861268;9,940676602;5,092072088;10,11917652;0,633257025;4,041812536;9,999160219;184,4908435;2,66041855;1,271794864;1,231920769;2,754331214;10,06985143;0,999523407;3,747693768;9,930057397;0,884225116;2,557883864;9,997301395;0,942950913;3,253864078
